condition,seed,epsilon_m,kernel_sigma_m,candidates,selected,correct,precision,recall,pose_status,translation_error_m,yaw_error_deg,consistent,error
clean,42,0.05,0.2,34,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
clean,42,0.2,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,42,0.5,0.2,34,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
clean,43,0.05,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,43,0.2,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,43,0.5,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,44,0.05,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,44,0.2,0.2,34,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
clean,44,0.5,0.2,34,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
clean,45,0.05,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,45,0.2,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,45,0.5,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,46,0.05,0.2,34,10,10,1.0,1.0,estimated,1.7763568394002505e-15,6.3611093629270335e-15,True,
clean,46,0.2,0.2,34,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
clean,46,0.5,0.2,34,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
clean,47,0.05,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,47,0.2,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,47,0.5,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,48,0.05,0.2,34,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
clean,48,0.2,0.2,34,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
clean,48,0.5,0.2,34,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
clean,49,0.05,0.2,34,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
clean,49,0.2,0.2,34,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
clean,49,0.5,0.2,34,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
clean,50,0.05,0.2,34,10,10,1.0,1.0,estimated,8.881784197001252e-16,6.3611093629270335e-15,True,
clean,50,0.2,0.2,34,10,10,1.0,1.0,estimated,8.881784197001252e-16,0.0,True,
clean,50,0.5,0.2,34,10,10,1.0,1.0,estimated,8.881784197001252e-16,0.0,True,
clean,51,0.05,0.2,34,10,10,1.0,1.0,estimated,1.9860273225978185e-15,0.0,True,
clean,51,0.2,0.2,34,10,10,1.0,1.0,estimated,1.9860273225978185e-15,0.0,True,
clean,51,0.5,0.2,34,10,10,1.0,1.0,estimated,1.9860273225978185e-15,0.0,True,
clean,52,0.05,0.2,34,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
clean,52,0.2,0.2,34,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
clean,52,0.5,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,53,0.05,0.2,34,10,10,1.0,1.0,estimated,1.9860273225978185e-15,0.0,True,
clean,53,0.2,0.2,34,10,10,1.0,1.0,estimated,1.9860273225978185e-15,0.0,True,
clean,53,0.5,0.2,34,10,10,1.0,1.0,estimated,1.9860273225978185e-15,0.0,True,
clean,54,0.05,0.2,34,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
clean,54,0.2,0.2,34,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
